ISO;YEAR;BANKING_CRISIS
ARE;1950;
ARE;1951;
ARE;1952;
ARE;1953;
ARE;1954;
ARE;1955;
ARE;1956;
ARE;1957;
ARE;1958;
ARE;1959;
ARE;1960;
ARE;1961;
ARE;1962;
ARE;1963;
ARE;1964;
ARE;1965;
ARE;1966;
ARE;1967;
ARE;1968;
ARE;1969;
ARE;1970;
ARE;1971;
ARE;1972;
ARE;1973;
ARE;1974;
ARE;1975;
ARE;1976;
ARE;1977;
ARE;1978;
ARE;1979;
ARE;1980;
ARE;1981;
ARE;1982;
ARE;1983;
ARE;1984;
ARE;1985;
ARE;1986;
ARE;1987;
ARE;1988;
ARE;1989;
ARE;1990;
ARE;1991;
ARE;1992;
ARE;1993;
ARE;1994;
ARE;1995;
ARE;1996;
ARE;1997;
ARE;1998;
ARE;1999;
ARE;2000;
ARE;2001;
ARE;2002;
ARE;2003;
ARE;2004;0.0
ARE;2005;0.0
ARE;2006;0.0
ARE;2007;0.0
ARE;2008;0.0
ARE;2009;1.0
ARE;2010;1.0
ARE;2011;1.0
ARE;2012;1.0
ARE;2013;0.0
ARE;2014;0.0
ARE;2015;0.0
ARE;2016;0.0
ARE;2017;0.0
ARE;2018;0.0
ARE;2019;0.0
ARE;2020;0.0
ARE;2021;0.0
ARE;2022;0.0
ARE;2023;
ARG;1950;
ARG;1951;
ARG;1952;
ARG;1953;
ARG;1954;
ARG;1955;
ARG;1956;
ARG;1957;
ARG;1958;
ARG;1959;
ARG;1960;
ARG;1961;
ARG;1962;
ARG;1963;
ARG;1964;
ARG;1965;
ARG;1966;
ARG;1967;
ARG;1968;
ARG;1969;
ARG;1970;
ARG;1971;
ARG;1972;
ARG;1973;
ARG;1974;
ARG;1975;
ARG;1976;
ARG;1977;
ARG;1978;
ARG;1979;
ARG;1980;
ARG;1981;
ARG;1982;
ARG;1983;
ARG;1984;
ARG;1985;
ARG;1986;
ARG;1987;
ARG;1988;
ARG;1989;
ARG;1990;
ARG;1991;
ARG;1992;0.0
ARG;1993;0.0
ARG;1994;0.0
ARG;1995;1.0
ARG;1996;0.0
ARG;1997;0.0
ARG;1998;0.0
ARG;1999;0.0
ARG;2000;0.0
ARG;2001;0.0
ARG;2002;1.0
ARG;2003;0.0
ARG;2004;0.0
ARG;2005;0.0
ARG;2006;0.0
ARG;2007;0.0
ARG;2008;1.0
ARG;2009;1.0
ARG;2010;0.0
ARG;2011;0.0
ARG;2012;1.0
ARG;2013;0.0
ARG;2014;0.0
ARG;2015;0.0
ARG;2016;0.0
ARG;2017;0.0
ARG;2018;0.0
ARG;2019;0.0
ARG;2020;0.0
ARG;2021;0.0
ARG;2022;0.0
ARG;2023;
AUS;1950;
AUS;1951;
AUS;1952;
AUS;1953;
AUS;1954;
AUS;1955;
AUS;1956;
AUS;1957;
AUS;1958;
AUS;1959;
AUS;1960;
AUS;1961;
AUS;1962;
AUS;1963;
AUS;1964;
AUS;1965;
AUS;1966;
AUS;1967;
AUS;1968;
AUS;1969;
AUS;1970;
AUS;1971;
AUS;1972;
AUS;1973;
AUS;1974;0.0
AUS;1975;0.0
AUS;1976;0.0
AUS;1977;0.0
AUS;1978;0.0
AUS;1979;0.0
AUS;1980;0.0
AUS;1981;0.0
AUS;1982;0.0
AUS;1983;0.0
AUS;1984;0.0
AUS;1985;0.0
AUS;1986;0.0
AUS;1987;0.0
AUS;1988;0.0
AUS;1989;0.0
AUS;1990;0.0
AUS;1991;0.0
AUS;1992;0.0
AUS;1993;0.0
AUS;1994;0.0
AUS;1995;0.0
AUS;1996;0.0
AUS;1997;0.0
AUS;1998;0.0
AUS;1999;0.0
AUS;2000;0.0
AUS;2001;0.0
AUS;2002;0.0
AUS;2003;0.0
AUS;2004;0.0
AUS;2005;0.0
AUS;2006;0.0
AUS;2007;0.0
AUS;2008;0.0
AUS;2009;1.0
AUS;2010;0.0
AUS;2011;0.0
AUS;2012;0.0
AUS;2013;0.0
AUS;2014;0.0
AUS;2015;0.0
AUS;2016;0.0
AUS;2017;0.0
AUS;2018;0.0
AUS;2019;0.0
AUS;2020;0.0
AUS;2021;0.0
AUS;2022;0.0
AUS;2023;
AUT;1950;
AUT;1951;
AUT;1952;
AUT;1953;
AUT;1954;
AUT;1955;
AUT;1956;
AUT;1957;
AUT;1958;
AUT;1959;
AUT;1960;
AUT;1961;
AUT;1962;
AUT;1963;
AUT;1964;
AUT;1965;
AUT;1966;
AUT;1967;
AUT;1968;
AUT;1969;
AUT;1970;
AUT;1971;
AUT;1972;
AUT;1973;
AUT;1974;
AUT;1975;
AUT;1976;
AUT;1977;
AUT;1978;
AUT;1979;
AUT;1980;
AUT;1981;
AUT;1982;
AUT;1983;
AUT;1984;
AUT;1985;
AUT;1986;
AUT;1987;0.0
AUT;1988;0.0
AUT;1989;0.0
AUT;1990;0.0
AUT;1991;0.0
AUT;1992;0.0
AUT;1993;0.0
AUT;1994;0.0
AUT;1995;0.0
AUT;1996;0.0
AUT;1997;0.0
AUT;1998;0.0
AUT;1999;0.0
AUT;2000;0.0
AUT;2001;0.0
AUT;2002;0.0
AUT;2003;0.0
AUT;2004;0.0
AUT;2005;0.0
AUT;2006;0.0
AUT;2007;0.0
AUT;2008;1.0
AUT;2009;1.0
AUT;2010;1.0
AUT;2011;0.0
AUT;2012;1.0
AUT;2013;0.0
AUT;2014;0.0
AUT;2015;0.0
AUT;2016;0.0
AUT;2017;0.0
AUT;2018;0.0
AUT;2019;0.0
AUT;2020;1.0
AUT;2021;0.0
AUT;2022;0.0
AUT;2023;
BEL;1950;
BEL;1951;
BEL;1952;
BEL;1953;
BEL;1954;
BEL;1955;
BEL;1956;
BEL;1957;
BEL;1958;
BEL;1959;
BEL;1960;
BEL;1961;
BEL;1962;
BEL;1963;
BEL;1964;
BEL;1965;
BEL;1966;
BEL;1967;
BEL;1968;
BEL;1969;
BEL;1970;
BEL;1971;
BEL;1972;
BEL;1973;
