ISO;YEAR;START;DURATION
ABW;1950;;
ABW;1951;;
ABW;1952;;
ABW;1953;;
ABW;1954;;
ABW;1955;;
ABW;1956;;
ABW;1957;;
ABW;1958;;
ABW;1959;;
ABW;1960;;
ABW;1961;;
ABW;1962;;
ABW;1963;;
ABW;1964;;
ABW;1965;;
ABW;1966;;
ABW;1967;;
ABW;1968;;
ABW;1969;;
ABW;1970;;
ABW;1971;;
ABW;1972;;
ABW;1973;;
ABW;1974;;
ABW;1975;;
ABW;1976;;
ABW;1977;;
ABW;1978;;
ABW;1979;;
ABW;1980;;
ABW;1981;;
ABW;1982;;
ABW;1983;;
ABW;1984;;
ABW;1985;;
ABW;1986;;
ABW;1987;;
ABW;1988;;
ABW;1989;;
ABW;1990;;
ABW;1991;;
ABW;1992;;
ABW;1993;;
ABW;1994;;
ABW;1995;;
ABW;1996;;
ABW;1997;;
ABW;1998;;
ABW;1999;;
ABW;2000;;
ABW;2001;;
ABW;2002;;
ABW;2003;;
ABW;2004;;
ABW;2005;;
ABW;2006;;
ABW;2007;;
ABW;2008;;
ABW;2009;;
ABW;2010;;
ABW;2011;;
ABW;2012;;
ABW;2013;;
ABW;2014;;
ABW;2015;;
ABW;2016;;
ABW;2017;;
ABW;2018;;
ABW;2019;;
ABW;2020;;
ABW;2021;;
ABW;2022;;
ABW;2023;;
AFG;1950;;
AFG;1951;;
AFG;1952;;
AFG;1953;;
AFG;1954;;
AFG;1955;;
AFG;1956;;
AFG;1957;;
AFG;1958;;
AFG;1959;;
AFG;1960;0;0
AFG;1961;0;0
AFG;1962;0;0
AFG;1963;0;0
AFG;1964;1;1
AFG;1965;0;1
AFG;1966;0;1
AFG;1967;0;0
AFG;1968;0;0
AFG;1969;0;0
AFG;1970;0;0
AFG;1971;0;0
AFG;1972;0;0
AFG;1973;0;0
AFG;1974;0;0
AFG;1975;0;0
AFG;1976;1;1
AFG;1977;0;0
AFG;1978;0;0
AFG;1979;0;0
AFG;1980;0;0
AFG;1981;0;0
AFG;1982;0;0
AFG;1983;;
AFG;1984;;
AFG;1985;;
AFG;1986;;
AFG;1987;;
AFG;1988;;
AFG;1989;;
AFG;1990;;
AFG;1991;;
AFG;1992;;
AFG;1993;;
AFG;1994;;
AFG;1995;;
AFG;1996;;
AFG;1997;;
AFG;1998;;
AFG;1999;;
AFG;2000;;
AFG;2001;;
AFG;2002;1;1
AFG;2003;0;1
AFG;2004;0;1
AFG;2005;0;1
AFG;2006;0;1
AFG;2007;0;1
AFG;2008;0;1
AFG;2009;0;0
AFG;2010;0;0
AFG;2011;0;0
AFG;2012;0;0
AFG;2013;0;0
AFG;2014;1;1
AFG;2015;0;1
AFG;2016;0;1
AFG;2017;0;1
AFG;2018;0;1
AFG;2019;0;1
AFG;2020;0;1
AFG;2021;0;1
AFG;2022;;
AFG;2023;;
AGO;1950;;
AGO;1951;;
AGO;1952;;
AGO;1953;;
AGO;1954;;
AGO;1955;;
AGO;1956;;
AGO;1957;;
AGO;1958;;
AGO;1959;;
AGO;1960;;
AGO;1961;;
AGO;1962;;
AGO;1963;;
AGO;1964;;
AGO;1965;;
AGO;1966;;
AGO;1967;;
AGO;1968;;
AGO;1969;;
AGO;1970;;
AGO;1971;;
AGO;1972;;
AGO;1973;;
AGO;1974;;
AGO;1975;;
AGO;1976;;
AGO;1977;;
AGO;1978;;
AGO;1979;;
AGO;1980;;
AGO;1981;;
AGO;1982;;
AGO;1983;;
AGO;1984;;
AGO;1985;;
AGO;1986;;
AGO;1987;;
AGO;1988;;
AGO;1989;1;1
AGO;1990;0;1
AGO;1991;0;1
AGO;1992;0;1
AGO;1993;0;1
AGO;1994;0;1
AGO;1995;0;1
AGO;1996;0;1
AGO;1997;0;1
AGO;1998;0;1
AGO;1999;0;1
AGO;2000;0;1
AGO;2001;0;1
AGO;2002;0;1
AGO;2003;0;1
AGO;2004;0;1
AGO;2005;0;1
AGO;2006;0;1
AGO;2007;0;1
AGO;2008;0;0
AGO;2009;0;0
AGO;2010;0;0
AGO;2011;0;0
AGO;2012;0;0
AGO;2013;0;0
AGO;2014;0;0
AGO;2015;0;0
AGO;2016;0;0
AGO;2017;0;0
AGO;2018;0;0
AGO;2019;0;0
AGO;2020;0;0
AGO;2021;0;0
AGO;2022;;
AGO;2023;;
AIA;1950;;
AIA;1951;;
AIA;1952;;
AIA;1953;;
AIA;1954;;
AIA;1955;;
AIA;1956;;
AIA;1957;;
AIA;1958;;
AIA;1959;;
AIA;1960;;
AIA;1961;;
AIA;1962;;
AIA;1963;;
AIA;1964;;
AIA;1965;;
AIA;1966;;
AIA;1967;;
AIA;1968;;
AIA;1969;;
AIA;1970;;
AIA;1971;;
AIA;1972;;
AIA;1973;;
AIA;1974;;
AIA;1975;;
AIA;1976;;
AIA;1977;;
AIA;1978;;
AIA;1979;;
AIA;1980;;
AIA;1981;;
AIA;1982;;
AIA;1983;;
AIA;1984;;
AIA;1985;;
AIA;1986;;
AIA;1987;;
AIA;1988;;
AIA;1989;;
AIA;1990;;
AIA;1991;;
AIA;1992;;
AIA;1993;;
AIA;1994;;
AIA;1995;;
AIA;1996;;
AIA;1997;;
AIA;1998;;
AIA;1999;;
AIA;2000;;
AIA;2001;;
AIA;2002;;
AIA;2003;;
AIA;2004;;
AIA;2005;;
AIA;2006;;
AIA;2007;;
AIA;2008;;
AIA;2009;;
AIA;2010;;
AIA;2011;;
AIA;2012;;
AIA;2013;;
AIA;2014;;
AIA;2015;;
AIA;2016;;
AIA;2017;;
AIA;2018;;
AIA;2019;;
AIA;2020;;
AIA;2021;;
AIA;2022;;
AIA;2023;;
ALB;1950;;
ALB;1951;;
ALB;1952;;
ALB;1953;;
ALB;1954;;
ALB;1955;;
ALB;1956;;
ALB;1957;;
ALB;1958;;
ALB;1959;;
ALB;1960;;
ALB;1961;;
ALB;1962;;
ALB;1963;;
ALB;1964;;
ALB;1965;;
ALB;1966;;
ALB;1967;;
ALB;1968;;
ALB;1969;;
ALB;1970;;
ALB;1971;;
ALB;1972;;
ALB;1973;;
ALB;1974;;
ALB;1975;;
ALB;1976;;
ALB;1977;;
ALB;1978;;
ALB;1979;;
ALB;1980;;
ALB;1981;;
ALB;1982;;
ALB;1983;;
ALB;1984;0;0
ALB;1985;0;0
ALB;1986;0;0
ALB;1987;0;0
ALB;1988;0;0
ALB;1989;0;0
ALB;1990;0;0
ALB;1991;1;1
ALB;1992;0;1
ALB;1993;0;1
ALB;1994;0;1
ALB;1995;0;1
ALB;1996;0;1
ALB;1997;0;1
ALB;1998;0;1
ALB;1999;0;1
ALB;2000;0;1
ALB;2001;0;1
ALB;2002;0;1
ALB;2003;0;0
ALB;2004;0;0
ALB;2005;0;0
ALB;2006;0;0
ALB;2007;0;0
ALB;2008;0;0
ALB;2009;0;0
ALB;2010;0;0
ALB;2011;0;0
ALB;2012;0;0
ALB;2013;0;0
ALB;2014;0;0
ALB;2015;0;0
ALB;2016;0;0
ALB;2017;0;0
ALB;2018;0;0
ALB;2019;0;0
ALB;2020;0;0
ALB;2021;0;0
ALB;2022;;
ALB;2023;;
AND;1950;;
AND;1951;;
AND;1952;;
AND;1953;;
AND;1954;;
AND;1955;;
AND;1956;;
AND;1957;;
AND;1958;;
AND;1959;;
AND;1960;;
AND;1961;;
AND;1962;;
AND;1963;;
AND;1964;;
AND;1965;;
AND;1966;;
AND;1967;;
AND;1968;;
AND;1969;;
AND;1970;;
AND;1971;;
AND;1972;;
AND;1973;;
AND;1974;;
AND;1975;;
AND;1976;;
AND;1977;;
AND;1978;;
AND;1979;;
AND;1980;;
AND;1981;;
AND;1982;;
AND;1983;;
AND;1984;;
AND;1985;;
AND;1986;;
AND;1987;;
AND;1988;;
AND;1989;;
AND;1990;;
AND;1991;;
AND;1992;;
AND;1993;;
AND;1994;;
AND;1995;;
AND;1996;;
AND;1997;;
AND;1998;;
AND;1999;;
AND;2000;;
AND;2001;;
AND;2002;;
AND;2003;;
AND;2004;;
AND;2005;;
AND;2006;;
AND;2007;;
AND;2008;;
AND;2009;;
AND;2010;;
AND;2011;;
AND;2012;;
AND;2013;;
AND;2014;;
AND;2015;;
AND;2016;;
AND;2017;;
AND;2018;;
AND;2019;;
AND;2020;;
AND;2021;;
AND;2022;;
AND;2023;;
ANT;1950;;
ANT;1951;;
ANT;1952;;
ANT;1953;;
ANT;1954;;
ANT;1955;;
ANT;1956;;
ANT;1957;;
ANT;1958;;
ANT;1959;;
ANT;1960;;
ANT;1961;;
ANT;1962;;
ANT;1963;;
ANT;1964;;
ANT;1965;;
ANT;1966;;
ANT;1967;;
ANT;1968;;
ANT;1969;;
ANT;1970;;
ANT;1971;;
ANT;1972;;
ANT;1973;;
ANT;1974;;
ANT;1975;;
ANT;1976;;
ANT;1977;;
ANT;1978;;
ANT;1979;;
ANT;1980;;
ANT;1981;;
ANT;1982;;
ANT;1983;;
ANT;1984;;
ANT;1985;;
ANT;1986;;
ANT;1987;;
ANT;1988;;
ANT;1989;;
ANT;1990;;
ANT;1991;;
ANT;1992;;
ANT;1993;;
ANT;1994;;
ANT;1995;;
ANT;1996;;
ANT;1997;;
ANT;1998;;
ANT;1999;;
ANT;2000;;
ANT;2001;;
ANT;2002;;
ANT;2003;;
ANT;2004;;
ANT;2005;;
ANT;2006;;
ANT;2007;;
ANT;2008;;
ANT;2009;;
ANT;2010;;
ANT;2011;;
ANT;2012;;
ANT;2013;;
ANT;2014;;
ANT;2015;;
ANT;2016;;
ANT;2017;;
ANT;2018;;
ANT;2019;;
ANT;2020;;
ANT;2021;;
ANT;2022;;
ANT;2023;;
ARE;1950;;
ARE;1951;;
ARE;1952;;
ARE;1953;;
ARE;1954;;
ARE;1955;;
ARE;1956;;
ARE;1957;;
ARE;1958;;
ARE;1959;;
ARE;1960;;
ARE;1961;;
ARE;1962;;
ARE;1963;;
ARE;1964;;
ARE;1965;;
ARE;1966;;
ARE;1967;;
ARE;1968;;
ARE;1969;;
ARE;1970;;
ARE;1971;;
ARE;1972;;
ARE;1973;;
ARE;1974;;
ARE;1975;;
ARE;1976;;
ARE;1977;;
ARE;1978;;
ARE;1979;;
ARE;1980;;
ARE;1981;;
ARE;1982;;
ARE;1983;;
ARE;1984;;
ARE;1985;;
ARE;1986;;
ARE;1987;;
ARE;1988;;
ARE;1989;;
ARE;1990;;
ARE;1991;;
ARE;1992;;
ARE;1993;;
ARE;1994;;
ARE;1995;;
ARE;1996;;
ARE;1997;;
ARE;1998;;
ARE;1999;;
ARE;2000;;
ARE;2001;;
ARE;2002;;
ARE;2003;;
ARE;2004;;
ARE;2005;;
ARE;2006;;
ARE;2007;;
ARE;2008;;
ARE;2009;;
ARE;2010;;
ARE;2011;;
ARE;2012;;
ARE;2013;;
ARE;2014;;
ARE;2015;;
ARE;2016;;
ARE;2017;;
ARE;2018;;
ARE;2019;;
ARE;2020;;
ARE;2021;;
ARE;2022;;
ARE;2023;;
ARG;1950;;
ARG;1951;;
ARG;1952;;
ARG;1953;;
ARG;1954;;
ARG;1955;;
ARG;1956;;
ARG;1957;;
ARG;1958;;
ARG;1959;;
ARG;1960;;
ARG;1961;;
ARG;1962;0;0
ARG;1963;0;0
ARG;1964;0;0
ARG;1965;0;0
ARG;1966;0;0
ARG;1967;0;0
ARG;1968;0;0
ARG;1969;0;0
ARG;1970;0;0
ARG;1971;0;0
ARG;1972;0;0
ARG;1973;0;0
ARG;1974;0;0
ARG;1975;0;0
ARG;1976;0;0
ARG;1977;0;0
ARG;1978;0;0
ARG;1979;0;0
ARG;1980;0;0
ARG;1981;0;0
ARG;1982;1;1
ARG;1983;0;1
ARG;1984;0;1
ARG;1985;0;1
ARG;1986;0;1
ARG;1987;0;1
ARG;1988;0;1
ARG;1989;0;1
ARG;1990;0;1
ARG;1991;0;1
ARG;1992;0;1
ARG;1993;0;1
ARG;1994;0;0
ARG;1995;0;0
ARG;1996;0;0
ARG;1997;0;0
ARG;1998;0;0
ARG;1999;0;0
ARG;2000;0;0
ARG;2001;1;1
ARG;2002;0;1
ARG;2003;0;1
ARG;2004;0;1
ARG;2005;0;1
ARG;2006;0;1
ARG;2007;0;1
ARG;2008;0;1
ARG;2009;0;1
ARG;2010;0;1
ARG;2011;0;1
ARG;2012;0;1
ARG;2013;0;1
ARG;2014;0;1
ARG;2015;0;1
ARG;2016;0;1
ARG;2017;0;0
ARG;2018;0;0
ARG;2019;0;0
ARG;2020;1;1
ARG;2021;0;0
ARG;2022;;
ARG;2023;;
ARM;1950;;
ARM;1951;;
ARM;1952;;
ARM;1953;;
ARM;1954;;
ARM;1955;;
ARM;1956;;
ARM;1957;;
ARM;1958;;
ARM;1959;;
ARM;1960;;
ARM;1961;;
ARM;1962;;
ARM;1963;;
ARM;1964;;
ARM;1965;;
ARM;1966;;
ARM;1967;;
ARM;1968;;
ARM;1969;;
ARM;1970;;
ARM;1971;;
ARM;1972;;
ARM;1973;;
ARM;1974;;
ARM;1975;;
ARM;1976;;
ARM;1977;;
ARM;1978;;
ARM;1979;;
ARM;1980;;
ARM;1981;;
ARM;1982;;
ARM;1983;;
ARM;1984;;
ARM;1985;;
ARM;1986;;
ARM;1987;;
ARM;1988;;
ARM;1989;;
ARM;1990;;
ARM;1991;0;0
ARM;1992;0;0
ARM;1993;1;1
ARM;1994;0;1
ARM;1995;0;1
ARM;1996;0;1
ARM;1997;0;1
ARM;1998;0;1
ARM;1999;0;0
ARM;2000;0;0
ARM;2001;0;0
ARM;2002;0;0
ARM;2003;0;0
ARM;2004;0;0
ARM;2005;0;0
ARM;2006;0;0
ARM;2007;0;0
ARM;2008;0;0
ARM;2009;0;0
ARM;2010;0;0
ARM;2011;0;0
ARM;2012;0;0
ARM;2013;0;0
ARM;2014;0;0
ARM;2015;0;0
ARM;2016;0;0
ARM;2017;0;0
ARM;2018;0;0
ARM;2019;0;0
ARM;2020;0;0
ARM;2021;0;0
ARM;2022;;
ARM;2023;;
ATG;1950;;
ATG;1951;;
ATG;1952;;
ATG;1953;;
ATG;1954;;
ATG;1955;;
ATG;1956;;
ATG;1957;;
ATG;1958;;
ATG;1959;;
ATG;1960;;
ATG;1961;;
ATG;1962;;
ATG;1963;;
ATG;1964;;
ATG;1965;;
ATG;1966;;
ATG;1967;;
ATG;1968;;
ATG;1969;;
ATG;1970;;
ATG;1971;;
ATG;1972;;
ATG;1973;;
ATG;1974;;
ATG;1975;;
ATG;1976;;
ATG;1977;;
ATG;1978;;
ATG;1979;;
ATG;1980;;
ATG;1981;0;0
ATG;1982;0;0
ATG;1983;0;0
ATG;1984;0;0
ATG;1985;1;1
ATG;1986;0;1
ATG;1987;0;0
ATG;1988;0;0
ATG;1989;0;0
ATG;1990;0;0
ATG;1991;0;0
ATG;1992;0;0
ATG;1993;0;0
ATG;1994;0;0
ATG;1995;0;0
ATG;1996;1;1
ATG;1997;0;1
ATG;1998;0;1
ATG;1999;0;1
ATG;2000;0;1
ATG;2001;0;1
ATG;2002;0;1
ATG;2003;0;1
ATG;2004;0;1
ATG;2005;0;1
ATG;2006;0;1
ATG;2007;0;1
ATG;2008;0;1
ATG;2009;0;1
ATG;2010;0;1
ATG;2011;0;1
ATG;2012;0;0
ATG;2013;0;0
ATG;2014;0;0
ATG;2015;0;0
ATG;2016;0;0
ATG;2017;0;0
ATG;2018;1;1
ATG;2019;0;1
ATG;2020;0;1
ATG;2021;0;1
ATG;2022;;
ATG;2023;;
AUS;1950;;
AUS;1951;;
AUS;1952;;
AUS;1953;;
AUS;1954;;
AUS;1955;;
AUS;1956;;
AUS;1957;;
AUS;1958;;
AUS;1959;;
AUS;1960;;
AUS;1961;;
AUS;1962;;
AUS;1963;;
AUS;1964;;
AUS;1965;;
AUS;1966;;
AUS;1967;;
AUS;1968;;
AUS;1969;;
AUS;1970;;
AUS;1971;;
AUS;1972;;
AUS;1973;;
AUS;1974;;
AUS;1975;;
AUS;1976;;
AUS;1977;;
AUS;1978;;
AUS;1979;;
AUS;1980;;
AUS;1981;;
AUS;1982;;
AUS;1983;;
AUS;1984;;
AUS;1985;;
AUS;1986;;
AUS;1987;;
AUS;1988;;
AUS;1989;;
AUS;1990;;
AUS;1991;;
AUS;1992;;
AUS;1993;;
AUS;1994;;
AUS;1995;;
AUS;1996;;
AUS;1997;;
AUS;1998;;
AUS;1999;;
AUS;2000;;
AUS;2001;;
AUS;2002;;
AUS;2003;;
AUS;2004;;
AUS;2005;;
AUS;2006;;
AUS;2007;;
AUS;2008;;
AUS;2009;;
AUS;2010;;
AUS;2011;;
AUS;2012;;
AUS;2013;;
AUS;2014;;
AUS;2015;;
AUS;2016;;
AUS;2017;;
AUS;2018;;
AUS;2019;;
AUS;2020;;
AUS;2021;;
AUS;2022;;
AUS;2023;;
AUT;1950;;
AUT;1951;;
AUT;1952;;
AUT;1953;;
AUT;1954;;
AUT;1955;;
AUT;1956;;
AUT;1957;;
AUT;1958;;
AUT;1959;;
AUT;1960;;
AUT;1961;;
AUT;1962;;
AUT;1963;;
AUT;1964;;
AUT;1965;;
AUT;1966;;
AUT;1967;;
AUT;1968;;
AUT;1969;;
AUT;1970;;
AUT;1971;;
AUT;1972;;
AUT;1973;;
AUT;1974;;
AUT;1975;;
AUT;1976;;
AUT;1977;;
AUT;1978;;
AUT;1979;;
AUT;1980;;
AUT;1981;;
AUT;1982;;
AUT;1983;;
AUT;1984;;
AUT;1985;;
AUT;1986;;
AUT;1987;;
AUT;1988;;
AUT;1989;;
AUT;1990;;
AUT;1991;;
AUT;1992;;
AUT;1993;;
AUT;1994;;
AUT;1995;;
AUT;1996;;
AUT;1997;;
AUT;1998;;
AUT;1999;;
AUT;2000;;
AUT;2001;;
AUT;2002;;
AUT;2003;;
AUT;2004;;
AUT;2005;;
AUT;2006;;
AUT;2007;;
AUT;2008;;
AUT;2009;;
AUT;2010;;
AUT;2011;;
AUT;2012;;
AUT;2013;;
AUT;2014;;
AUT;2015;;
AUT;2016;;
AUT;2017;;
AUT;2018;;
AUT;2019;;
AUT;2020;;
AUT;2021;;
AUT;2022;;
AUT;2023;;
AZE;1950;;
AZE;1951;;
AZE;1952;;
AZE;1953;;
AZE;1954;;
AZE;1955;;
AZE;1956;;
AZE;1957;;
AZE;1958;;
AZE;1959;;
AZE;1960;;
AZE;1961;;
AZE;1962;;
AZE;1963;;
AZE;1964;;
AZE;1965;;
AZE;1966;;
AZE;1967;;
AZE;1968;;
AZE;1969;;
AZE;1970;;
AZE;1971;;
AZE;1972;;
AZE;1973;;
AZE;1974;;
AZE;1975;;
AZE;1976;;
AZE;1977;;
AZE;1978;;
AZE;1979;;
AZE;1980;;
AZE;1981;;
AZE;1982;;
AZE;1983;;
AZE;1984;;
AZE;1985;;
AZE;1986;;
AZE;1987;;
AZE;1988;;
AZE;1989;;
AZE;1990;;
AZE;1991;0;0
AZE;1992;0;0
AZE;1993;0;0
AZE;1994;1;1
AZE;1995;0;1
AZE;1996;0;1
AZE;1997;0;0
AZE;1998;0;0
AZE;1999;0;0
AZE;2000;0;0
AZE;2001;0;0
AZE;2002;0;0
AZE;2003;0;0
AZE;2004;0;0
AZE;2005;0;0
AZE;2006;0;0
AZE;2007;0;0
AZE;2008;0;0
AZE;2009;0;0
AZE;2010;0;0
AZE;2011;0;0
AZE;2012;0;0
AZE;2013;0;0
AZE;2014;0;0
AZE;2015;0;0
AZE;2016;0;0
AZE;2017;0;0
AZE;2018;0;0
